Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
1,60,8450,7,5,2003,2003,196,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,0,61,0,0,0,0,0,2,2008,208500
2,20,9600,6,8,1976,1976,0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,298,0,0,0,0,0,0,5,2007,181500
3,60,11250,7,5,2001,2002,162,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,0,42,0,0,0,0,0,9,2008,223500
4,70,9550,7,5,1915,1970,0,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,0,35,272,0,0,0,0,2,2006,140000
5,60,14260,8,5,2000,2000,350,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,192,84,0,0,0,0,0,12,2008,250000
6,50,14115,5,5,1993,1995,0,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,40,30,0,320,0,0,700,10,2009,143000
7,20,10084,8,5,2004,2005,186,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,255,57,0,0,0,0,0,8,2007,307000
8,60,10382,7,6,1973,1973,240,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,235,204,228,0,0,0,350,11,2009,200000
9,50,6120,7,5,1931,1950,0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,90,0,205,0,0,0,0,4,2008,129900
10,190,7420,5,6,1939,1950,0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,0,4,0,0,0,0,0,1,2008,118000
11,20,11200,5,5,1965,1965,0,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,0,0,0,0,0,0,0,2,2008,129500
12,60,11924,9,5,2005,2006,286,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,147,21,0,0,0,0,0,7,2006,345000
13,20,12968,5,6,1962,1962,0,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,140,0,0,0,176,0,0,9,2008,144000
14,20,10652,7,5,2006,2007,306,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,160,33,0,0,0,0,0,8,2007,279500
15,20,10920,6,5,1960,1960,212,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,0,213,176,0,0,0,0,5,2008,157000
16,45,6120,7,8,1929,2001,0,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,48,112,0,0,0,0,0,7,2007,132000
17,20,11241,6,7,1970,1970,180,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,0,0,0,0,0,0,700,3,2010,149000
18,90,10791,4,5,1967,1967,0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,0,0,0,0,0,0,500,10,2006,90000
19,20,13695,5,5,2004,2004,0,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,0,102,0,0,0,0,0,6,2008,159000
20,20,7560,5,6,1958,1965,0,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,0,0,0,0,0,0,0,5,2009,139000
21,60,14215,8,5,2005,2006,380,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,240,154,0,0,0,0,0,11,2006,325300
22,45,7449,7,7,1930,1950,0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,0,0,205,0,0,0,0,6,2007,139400
23,20,9742,8,5,2002,2002,281,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,171,159,0,0,0,0,0,9,2008,230000
24,120,4224,5,7,1976,1976,0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,100,110,0,0,0,0,0,6,2007,129900
25,20,8246,5,8,1968,2001,0,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,406,90,0,0,0,0,0,5,2010,154000
26,20,14230,8,5,2007,2007,640,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,0,56,0,0,0,0,0,7,2009,256300
27,20,7200,5,7,1951,2000,0,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,222,32,0,0,0,0,0,5,2010,134800
28,20,11478,8,5,2007,2008,200,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,0,50,0,0,0,0,0,5,2010,306000
29,20,16321,5,6,1957,1997,0,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,288,258,0,0,0,0,0,12,2006,207500
30,30,6324,4,6,1927,1950,0,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,49,0,87,0,0,0,0,5,2008,68500
31,70,8500,4,4,1920,1950,0,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,0,54,172,0,0,0,0,7,2008,40000
32,20,8544,5,6,1966,2006,0,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,0,65,0,0,0,0,0,6,2008,149350
33,20,11049,8,5,2007,2007,0,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,0,30,0,0,0,0,0,1,2008,179900
34,20,10552,5,5,1959,1959,0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,0,38,0,0,0,0,0,4,2010,165500
35,120,7313,9,5,2005,2005,246,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,203,47,0,0,0,0,0,8,2007,277500
36,60,13418,8,5,2004,2005,132,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,113,32,0,0,0,0,0,9,2006,309000
37,20,10859,5,5,1994,1995,0,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,392,64,0,0,0,0,0,6,2009,145000
38,20,8532,5,6,1954,1990,650,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,0,0,0,0,0,0,0,10,2009,153000
39,20,7922,5,7,1953,2007,0,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,0,52,0,0,0,0,0,1,2010,109000
40,90,6040,4,5,1955,1955,0,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,6,2008,82000
41,20,8658,6,5,1965,1965,101,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,0,138,0,0,0,0,0,12,2006,160000
